occurtime,power
2020-12-10_15:50:00,121.44
2020-12-10_15:55:00,121.12
2020-12-10_16:00:00,122.0
2020-12-10_16:05:00,120.64
2020-12-10_16:10:00,0.0
2020-12-10_16:15:00,0.0
2020-12-10_16:20:00,0.0
2020-12-10_16:25:00,131.04
2020-12-10_16:30:00,125.52
2020-12-10_16:35:00,122.64
2020-12-10_16:40:00,123.28
2020-12-10_16:45:00,120.4
2020-12-10_16:50:00,120.88
2020-12-10_16:55:00,0.0
2020-12-10_17:00:00,0.0
2020-12-10_17:05:00,0.0
2020-12-10_17:10:00,156.64
2020-12-10_17:15:00,129.28
2020-12-10_17:20:00,125.44
2020-12-10_17:25:00,124.64
2020-12-10_17:30:00,123.04
2020-12-10_17:35:00,0.0
2020-12-10_17:40:00,0.0
2020-12-10_17:45:00,0.0
2020-12-10_17:50:00,0.0
2020-12-10_17:55:00,131.2
2020-12-10_18:00:00,124.72
2020-12-10_18:05:00,124.64
2020-12-10_18:10:00,121.68
2020-12-10_18:15:00,120.08
2020-12-10_18:20:00,0.0
2020-12-10_18:25:00,0.0
2020-12-10_18:30:00,0.0
2020-12-10_18:35:00,0.0
2020-12-10_18:40:00,124.24
2020-12-10_18:45:00,122.08
2020-12-10_18:50:00,121.6
2020-12-10_18:55:00,117.92
2020-12-10_19:00:00,118.96
2020-12-10_19:05:00,0.0
2020-12-10_19:10:00,0.0
2020-12-10_19:15:00,0.0
2020-12-10_19:20:00,0.0
2020-12-10_19:25:00,126.88
2020-12-10_19:30:00,123.44
2020-12-10_19:35:00,121.6
2020-12-10_19:40:00,123.12
2020-12-10_19:45:00,120.96
2020-12-10_19:50:00,0.0
2020-12-10_19:55:00,0.0
2020-12-10_20:00:00,0.0
2020-12-10_20:05:00,128.0
2020-12-10_20:10:00,121.6
2020-12-10_20:15:00,120.32
2020-12-10_20:20:00,118.64
2020-12-10_20:25:00,117.28
2020-12-10_20:30:00,0.0
2020-12-10_20:35:00,0.0
2020-12-10_20:40:00,0.0
2020-12-10_20:45:00,134.96
2020-12-10_20:50:00,127.76
2020-12-10_20:55:00,126.24
2020-12-10_21:00:00,124.96
2020-12-10_21:05:00,122.88
2020-12-10_21:10:00,0.0
2020-12-10_21:15:00,0.0
2020-12-10_21:20:00,0.0
2020-12-10_21:25:00,0.0
2020-12-10_21:30:00,128.96
2020-12-10_21:35:00,125.52
2020-12-10_21:40:00,123.52
2020-12-10_21:45:00,122.88
2020-12-10_21:50:00,0.0
2020-12-10_21:55:00,0.0
2020-12-10_22:00:00,0.0
2020-12-10_22:05:00,136.08
2020-12-10_22:10:00,127.12
2020-12-10_22:15:00,120.32
2020-12-10_22:20:00,119.44
2020-12-10_22:25:00,119.6
2020-12-10_22:30:00,0.0
2020-12-10_22:35:00,0.0
2020-12-10_22:40:00,0.0
2020-12-10_22:45:00,0.0
2020-12-10_22:50:00,130.32
2020-12-10_22:55:00,126.16
2020-12-10_23:00:00,126.16
2020-12-10_23:05:00,122.24
2020-12-10_23:10:00,119.2
2020-12-10_23:15:00,116.88
2020-12-10_23:20:00,0.0
2020-12-10_23:25:00,0.0
2020-12-10_23:30:00,0.0
2020-12-10_23:35:00,0.0
2020-12-10_23:40:00,127.6
2020-12-10_23:45:00,120.24
2020-12-10_23:50:00,120.96
