occurtime,power
2020-12-16 04:00:00,1138.8000000000002
2020-12-16 05:00:00,620.56
2020-12-16 06:00:00,492.15999999999997
2020-12-16 07:00:00,884.32
2020-12-16 08:00:00,763.44
2020-12-16 09:00:00,624.1600000000001
2020-12-16 10:00:00,884.48
2020-12-16 11:00:00,760.64
2020-12-16 12:00:00,743.76
2020-12-16 13:00:00,755.44
2020-12-16 14:00:00,615.5999999999999
2020-12-16 15:00:00,1018.24
2020-12-16 16:00:00,629.6
2020-12-16 17:00:00,734.24
2020-12-16 18:00:00,864.64
2020-12-16 19:00:00,610.72
2020-12-16 20:00:00,985.0400000000001
2020-12-16 21:00:00,731.84
2020-12-16 22:00:00,1128.32
2020-12-16 23:00:00,1733.4799999999996
2020-12-17 00:00:00,1524.48
2020-12-17 01:00:00,743.44
2020-12-17 02:00:00,749.44
2020-12-17 03:00:00,610.1600000000001
2020-12-17 04:00:00,759.76
2020-12-17 05:00:00,359.6
2020-12-17 06:00:00,870.0000000000001
2020-12-17 07:00:00,886.5600000000001
2020-12-17 08:00:00,772.8
2020-12-17 09:00:00,751.2
2020-12-17 10:00:00,755.3600000000001
2020-12-17 11:00:00,500.16
2020-12-17 12:00:00,780.48
2020-12-17 13:00:00,894.24
2020-12-17 14:00:00,749.76
2020-12-17 15:00:00,642.5600000000001
2020-12-17 16:00:00,907.6
2020-12-17 17:00:00,759.0400000000001
2020-12-17 18:00:00,1130.6399999999999
2020-12-17 19:00:00,988.9599999999999
2020-12-17 20:00:00,1078.64
2020-12-17 21:00:00,722.96
2020-12-17 22:00:00,1559.3899999999999
2020-12-17 23:00:00,1621.3600000000001
2020-12-18 00:00:00,1074.8
2020-12-18 01:00:00,847.44
2020-12-18 02:00:00,744.96
2020-12-18 03:00:00,721.2800000000001
2020-12-18 04:00:00,748.72
2020-12-18 05:00:00,635.9200000000001
2020-12-18 06:00:00,726.64
2020-12-18 07:00:00,1053.76
2020-12-18 08:00:00,648.96
2020-12-18 09:00:00,926.3199999999999
2020-12-18 10:00:00,1041.8400000000001
2020-12-18 11:00:00,500.88
2020-12-18 12:00:00,870.32
